Razon Socia,Municipi,Descripcion Tipo Rn,Categori,Subcategori,Estado Rn,Tota,Tip,Precio Minim,Precio Maxim,Recomendacio
LA KUMBRE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
HOTEL CAMPESTRE LA MARGARITA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FABIOLA  MONTOYA RIOS,PEREIRA,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1,,0,0,NO OFRECE
MARIANA  MARULANDA GUTIERREZ,PEREIRA,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1,,0,0,NO OFRECE
SALAS PALACIO CARMEN ELENA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ADRIANA PATRICIA OSPINA LOPEZ,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
SALAZAR ALZATE MARIA DOLY,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
EL PARAÍSO COMBIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
DANIELA  GARCIA VALENCIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
KALEJ S.A.S,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LUISA  FERNANDA RICO CARRISOZA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ABU DABI RESTAURANTE MIRADOR,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CORTES  BRIDGETT SORAYA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
RESERVA ECOLOGICA EL AGUACATE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CESAR AUGUSTO FLOREZ CELIS,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
GO APARTALOFT,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
OSCAR  MARTINEZ SOUSA,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
FINCA NARANJITOS,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LA UNION COFFEE FARM,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LA ACUARELA POSADA DE LA MONITA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
DANIELA  LOPEZ NAVARRO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ALOJAMIENTO EL OCASO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA VILLA SAN JORGE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FUNDACIÓN CASA SANTA LUCIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ADRIANA  GUTIERREZ JARAMILLO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
OTUN GASTRO PARK,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CRISTINA  MERCE VILAR,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
KRISTIAAN RICHARD E LAUWERS,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
DIEGO JESUS CARDONA OCAMPO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CASA DE CAMPO ESTRELLA DE LA MAÑANA,PEREIRA,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1,,0,0,NO OFRECE
ELLIOTT DEAN MICHAEL,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
ELLIOTT DEAN MICHAEL,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
CLAUDIA PATRICIA LONDOÑO GOMEZ,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LINDA TATIANA HURTADO ARIAS,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
FINCA EL PORFIN,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA LOS ANGELES J & M,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
RESERVA NATURAL GUADALUPE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LAURA DANIELA GALINDO SANCHEZ,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
JUAN DAVID BETANCOURTH SALAZAR,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
EL SAMAN DE CERRITOS,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
INMOBILIARIA VITRUVIO S A S,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
CASA DE CAMPO LA TIERRITA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CASTRO MONTOYA CAROLINA,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
JORGE EDUARDO PINEDA GOMEZ,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CLAUDIA HELENA TENA MEJIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA EL DIAMANTE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
RANCHO SAMAN,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ANA FELIZ CASTAÑO LOPEZ,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
FINCA EL PARAISO RURAL,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
JOAN SEBASTIAN JIMENEZ ALLAN,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
OSPINA MONTOYA LUIS CRISTOBAL,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
RESTREPO RIOS CLAUDIA PATRICIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
JEISSON ALBERTO BARAJAS URREGO,PEREIRA,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,APARTAMENTO TURÍSTICO,ACTIVO,1,,0,0,
FINCA VILLAS DE SANJACOBO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA LA SOMBRA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA EL REPOSO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA VILLA KATHERINE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ALOJAMIENTO RURAL LOS ANGELES,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA LA TOSCANA ALOJAMIENTO RURAL,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA VILLA MADRID,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CENTRO DE VISITANTE LA PASTORA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
HOTEL CAMPESTRE YANUBA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
AMAZILIA HOTEL,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
EL JARDÍN DE LOS COLIBRIES,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA VILLA LA ISABELLA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ECOHOTEL SHALOM,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
SANTA MARIA BED AND BREAKFAST,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA HOTEL CAPRI,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA VILLA JULIANA COMBIA,PEREIRA,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1,,0,0,NO OFRECE
FINCA VILLA ANDREA MORELIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
CASA CAMPESTRE MONTERREY,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA HOTEL YERBABUENA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
COTINGA HOTEL SPA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
EL LUGAR,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA LA RIVERA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA ILUSIONES,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
EL DESCANSO DEL DUQUE,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA MONTERREY UN SUEÑO HECHO REALIDAD,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA CAMPESTRE LA ROSITA PAQUETA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
HOTEL CAMPESTRE VILLA JUANA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA EL ROSAL COMBIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA VILLA DEL SOCORRO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LA VALENCIA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA MI TIERRICA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
EL REFUGIO DE BALSORA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ANDALUCIA FINCA HOTEL,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
TURISTICAS EL TANGO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
SEDE RECREACIONAL LOS ALAMOS,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ESTANCIA EL CANEY,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LA SELECTA ECO HOTEL,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA HOTEL LA COLINA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
DAVID`S TURISMO RURAL FINCA EL AMPARO,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
FINCA LOS ALCAZARES,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
ECOHOTEL LA CASONA,PEREIRA,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1,,8000,40000,ESPECIAL DE LA FINCA
LA CASA CAMPESTRE,RESTREPO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,7000,20000,LA PAISA
Duque Restaurante,Villavicencio,VIVIENDAS TURÍSTICAS,RESTAURANTE,RESTAURANTE,ACTIVO,1700000,ass,1000,2000,5
